BOLA2B,16,30204255,30205627
BOLA2,16,29464914,29466285
CDY1,Y,27768309,27771049
CT47A10,X,120072555,120075877
CT47A12,X,120064104,120066155
CT47A3,X,120106600,120109922
CTAG1A,X,153813407,153815080
CTAG1B,X,153845860,153847533
F8A2,X,154611764,154612879
F8A3,X,154686575,154688333
FAM197Y1,Y,9382526,9384756
FAM25E,10,46310874,46313036
GAGE12B,X,49294472,49294588
H2AFB3,X,154689076,154689666
HIST2H2AA3,1,149813755,149814303
HIST2H2AA4,1,149822628,149823191
HIST2H4A,1,149804223,149811339
HIST2H4B,1,149825607,149832776
LUZP6,7,135612022,135612198
PIGY,4,89442724,89442940
PNMA6A,X,152240865,152243401
PRY2,Y,24217903,24242154
PRY,Y,24636544,24660784
RBMY1D,Y,24026223,24040673
RPS17,15,83205504,83209315
SCX,8,145321463,145323384
VCY,Y,16097652,16098393
XAGE2,X,52112173,52118823
BPY2B,Y,26753707,26785354
BPY2C,Y,27177048,27208695
BPY2,Y,25119966,25151612
CCL3L3,17,34522268,34524157
CDY1B,Y,26191376,26194166
CT47A11,X,120067694,120071012
H2AFB2,X,154610436,154610783
HGH1,8,145192672,145195746
HIST2H3A,1,149824181,149825836
HSFY1,Y,20708557,20750849
HSFY2,Y,20893326,20990548
MAGEA2,X,151918387,151922408
PABPC1L2B,X,72223356,72225552
PRR23D1,8,7397150,7399972
PRR23D2,8,7636113,7638935
SLX1B,16,29465822,29469540
SPACA5B,X,47990039,47991995
USP17L23,4,9274090,9274640
SMN2,5,69345439,69374349
DEFB130,8,12168471,12175825
TP53TG3B,16,33261515,33264719
C21orf140,21,35772615,35773370
CDY2A,Y,20137667,20140477
CDY2B,Y,19989290,19992100
CT45A6,X,134856985,134866305
CT47A1,X,120116320,120119642
CT47A2,X,120111460,120114782
CT47A4,X,120101740,120105062
CT47A9,X,120077415,120080737
CXorf49,X,70934221,70938001
DAZ3,Y,26909216,26959639
DEFB103B,8,7286410,7287870
FAM156B,X,52920336,52937587
HSFX2,X,148674175,148676376
MAGEA9B,X,148663309,148669110
OR13C7,9,36002906,36003864
OR4F3,5,180794269,180795263
OR5G3,11,56587052,56587980
PANO1,11,797511,799190
RBMY1F,Y,24314689,24329129
SCT,11,626431,627143
SLX1A,16,30205208,30208882
TMSB10,2,85132749,85133799
TMSB4Y,Y,15815447,15817904
TP53TG3C,16,33204980,33208179
TP53TG3,16,32684849,32688053
TSPY4,Y,9175073,9177893
VCY1B,Y,16168097,16168838
FAM231A,1,16999498,17000007
MPC1L,X,40482818,40483112
PRR20D,13,57734766,57737787
RNF225,19,58907457,58908446
C1orf233,1,1533392,1535476
C6orf229,6,24797549,24799124
CLDN34,X,9935398,9936392
CT47A7,X,120087142,120090454
CXorf49B,X,70983274,70987054
DAZ1,Y,25275502,25345241
EMC6,17,3572109,3572962
MAGED4B,X,51804923,51812344
MT1HL1,1,237167403,237167718
MT1L,16,56651388,56652730
MTRNR2L10,X,55207824,55209353
MTRNR2L8,11,10529434,10530736
OCLM,1,186369704,186370587
OR1E3,17,3019717,3020660
OR4F21,8,116049,117043
OR4K3,14,20336401,20337302
OR52Z1,11,5198944,5199840
PPIAL4C,1,148806057,148806656
PRAC1,17,46799081,46799884
PRR20A,13,57715052,57718073
RD3L,14,104406763,104408645
SMIM6,17,73642323,73644057
TCP11X1,X,101470280,101484526
TSPY3,Y,9236030,9238832
XAGE1A,X,52238818,52243954
XAGE1B,X,52541053,52549812
CITED4,1,41326723,41328038
HIST2H3C,1,149811110,149812765
HSFX1,X,148855726,148858525
PRR20E,13,57741331,57744352
KRTAP2-4,17,39221368,39222131
OR4F16,1,621096,622034
DEFB105A,8,7679488,7681411
DEFB105B,8,7345191,7347115
CCDC85B,11,65657583,65659106
CFC1B,2,131278770,131286177
CT47A8,X,120011344,120085598
DAZ2,Y,25365581,25437503
F8A1,X,154114624,154116336
GCNT6,6,10633995,10634928
INAFM2,15,40617417,40618916
IQCF6,3,51812577,51813203
MIF,22,24236191,24237414
MTRNR2L4,16,3420979,3422740
OR52E1,11,5090802,5091691
PRAC2,17,46800530,46802120
SPANXB1,X,140084756,140085871
TMEM210,9,140065310,140066861
DEFB103A,8,7738726,7740186
SMN1,5,70220857,70249769
TSPY10,Y,9365489,9368291
DAZ4,Y,26979967,27053187
OR11H7,14,20697561,20698500
MBD3L2,19,7049332,7051746
ASCL2,11,2289725,2292182
BHLHA9,17,1173853,1174754
C15orf62,15,41062278,41064647
CTXN1,19,7989370,7991051
KRTAP20-3,21,32015183,32015455
LIMS3L,2,111222628,111230511
MAGEA2B,X,151883075,151887096
MAGEA9,X,148863593,148869399
MBD3L4,19,7037759,7040190
MT1B,16,56685811,56687116
OR10AC1,7,143208026,143209004
OR1P1,17,3057183,3058176
OR4E1,14,22138203,22139150
SCGB3A1,5,180017103,180018540
SPHAR,1,229440604,229441251
USP17L10,4,9212383,9214334
ATP5L2,22,43035809,43036607
CCDC182,17,55821842,55822673
GP1BB,22,19710468,19712294
PRR20B,13,57721622,57724643
TMEM191B,22,20377669,20380440
VN1R3,16,31819247,31820165
BECN2,1,242121039,242122359
C19orf73,19,49621654,49622397
CEBPD,8,48649471,48651648
CLDN24,4,184242917,184243579
GRIFIN,7,2514479,2516528
HIST1H4A,6,26021907,26022218
IFNL4,19,39736954,39739496
MTRNR2L3,20,55933498,55935036
MTRNR2L5,10,57359063,57359801
NUPR1L,7,56182374,56184093
OR51H1,11,4880886,4881794
PDF,16,69362524,69364498
PIGBOS1,15,55609382,55611359
PRORY,Y,23544840,23548246
TPBGL,11,74951950,74954742
HBA2,16,222846,223709
PABPC1L2A,X,72297115,72299351
PRM1,16,11374693,11375207
TRIM49D2,11,89657232,89666231
RBMY1A1,Y,23673258,23711212
RBMY1B,Y,23673224,23710980
SERF1A,5,70196492,70214357
SPANXA2,X,140677562,140678899
C10orf142,10,44788017,44790097
C6orf226,6,42858003,42858554
CBY3,5,179105584,179107975
COX6A2,16,31439052,31439749
FAM89B,11,65339820,65341669
FRAT2,10,99092254,99094466
GJD3,17,38519183,38520067
H2AFB1,X,154113247,154113833
HBA1,16,226679,227521
INAFM1,19,47777710,47778964
MAGED4,X,51927919,51935364
OR8J2,11,55978349,55979296
RBMY1E,Y,24026223,24064214
RHOXF2B,X,119206229,119211670
RPL41,12,56510370,56511727
SYCN,19,39693471,39694906
TIMM10,11,57295936,57298276
TSPY8,Y,9195406,9218479
UCN,2,27530268,27531313
C17orf89,17,79213039,79215081
